,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-instant-access-sdk-java,Java
13,amazon-instant-access-sdk-net,C#
14,amazon-instant-access-sdk-php,PHP
15,amazon-instant-access-sdk-ruby,Ruby
16,amazon-launcher-integration-cordova-plugin,JavaScript
17,amazon-marketing-stream-examples,Python
18,amazon-mcf-plugin-for-magento-1,PHP
19,amazon-multi-token-completion,Python
20,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
21,amazon-pay-api-sdk-dotnet,C#
22,amazon-pay-api-sdk-java,Java
23,amazon-pay-api-sdk-nodejs,JavaScript
24,amazon-pay-api-sdk-php,PHP
25,amazon-pay-api-sdk-ruby,Ruby
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,armbench,Python
45,auction-gym,Jupyter Notebook
46,augment-the-pairs-wacv2024,Python
47,autotrail,Python
48,aws-apigateway-client-lib,
49,aws-sigv4-signing-samples,Java
50,awsssmchaosrunner,Kotlin
51,basis-point-sets,Python
52,BayesPE,Python
53,buy-with-prime-automate-tenant-validation,JavaScript
54,buy-with-prime-cdk-constructs,TypeScript
55,buy-with-prime-event-accelerator,Python
56,buy-with-prime-monitoring-sample-cdk,TypeScript
57,buy-with-prime-oauth-handler-ec2,JavaScript
58,buy-with-prime-saas-integration,TypeScript
59,chalet-charging-location-for-electric-trucks,Python
60,computer-vision-basics-in-microsoft-excel,
61,confident-sinkhorn-allocation,Jupyter Notebook
62,convolutional-handwriting-gan,Python
63,cosearcher,Python
64,credence-to-causal-estimation,Python
65,data-jack-knife,Java
66,debiased-balanced-interleaving,Jupyter Notebook
67,differential-privacy-bayesian-optimization,Python
68,distance-assistant,Python
69,drs-sample-android-app,Java
70,drs-sample-ios-app,Objective-C
71,emukit-playground,JavaScript
72,eslint-plugin-no-date-parsing,TypeScript
73,exoplayer-amazon-port,Java
74,explainable-text-vqa,
75,extremely-efficient-query-encoder,Python
76,faithful-data2text-cycle-training,Python
77,fashion-attribute-disentanglement,Python
78,fire-app-builder,Java
79,firetv-sample-touch-app,Java
80,ftv-integration-sdk-sample-app,Kotlin
81,ftv-livetv-sample-tv-app,Java
82,gameon-sample-game-unity,C#
83,gameon-starter-kit-unity,C#
84,git-commit-template,JavaScript
85,glad,JavaScript
86,golang-gitoperations,Go
87,halo-third-party-sdk-for-java,Java
88,halo-third-party-sdk-for-node-js,TypeScript
89,halo-third-party-sdk-for-python,Python
90,hawktracer,C++
91,image-misspell-coling2020,
92,image-to-recipe-transformers,Python
93,informative-diverse-hard-negative-sampling,Python
94,ion-cascading-config,Java
95,ion-object-mapper-dotnet,C#
96,jekyll-doc-project,HTML
97,kotlin-inject-anvil,Kotlin
98,kqr,
99,login-with-amazon-oscommerce,PHP
100,login-with-amazon-wordpress,PHP
101,media3-external-port,
102,merlin-on-demand-callgraph,JavaScript
103,metalearn-leap,Python
104,milan,Scala
105,mrc-net-6d-pose,Python
106,multiconer-baseline,Python
107,multilingual-keyphrase-generation,Python
108,multimodal-affinities,Python
109,MXFusion,Python
110,nimbus-jose-jwt_aws-kms-extension,Java
111,node-jose_aws-kms-extension,TypeScript
112,openapi-swift-code-generate,Swift
113,orthogonal-additive-gaussian-processes,Python
114,oss-attribution-builder,TypeScript
115,oss-contribution-tracker,TypeScript
116,oss-dashboard,Ruby
117,pecos,Python
118,pretraining-or-self-training,Python
119,python-jose_aws-kms-extension,Python
120,rdma-core,C
121,refuel-open-domain-qa,Python
122,rete-thewebconf-2022,Python
123,rheoceros,Python
124,robotiq-gripper-interface,C++
125,sample-fire-tv-app-video-skill,Java
126,selling-partner-api-docs,
127,selling-partner-api-models,Mustache
128,selling-partner-api-samples,Java
129,seqzero,Python
130,service-model-swift-code-generate,Swift
131,sketch-constructor,JavaScript
132,smoke-aws,Swift
133,smoke-aws-credentials,Swift
134,smoke-aws-generate,Swift
135,smoke-aws-support,Swift
136,smoke-dynamodb,Swift
137,smoke-framework,Swift
138,smoke-framework-application-generate,Swift
139,smoke-framework-examples,Swift
140,smoke-http,Swift
141,sparse-vqvae,Python
142,ss-aga-kgc,Python
143,sto-transformer,Python
144,style-dictionary,JavaScript
145,supply-chain-simulation-environment,Python
146,tiny-attribution-generator,TypeScript
147,trans-encoder,Python
148,user-satisfaction-modeling,Python
149,workspace-resolver,JavaScript
